Date,Open,High,Low,Close
05/02/2023,"27,847","28,891","27,684","28,710"
05/01/2023,"29,380","29,506","27,818","27,849"
04/30/2023,"29,262","29,961","29,117","29,380"
04/29/2023,"29,343","29,456","29,078","29,262"
04/28/2023,"29,687","29,777","28,932","29,342"
04/27/2023,"27,910","29,882","27,274","29,683"
04/26/2023,"27,622","30,008","27,622","27,911"
04/25/2023,"27,381","27,761","27,206","27,623"
04/24/2023,"27,478","27,992","27,000","27,380"
04/23/2023,"27,629","27,878","27,354","27,477"
04/22/2023,"27,281","27,775","27,153","27,629"
04/21/2023,"28,099","28,358","27,208","27,281"
04/20/2023,"29,239","29,317","28,010","28,100"
04/19/2023,"30,239","30,453","29,045","29,239"
04/18/2023,"29,485","30,480","29,136","30,239"
04/17/2023,"30,333","30,426","29,267","29,485"
04/16/2023,"30,357","30,563","30,163","30,332"
04/15/2023,"30,345","30,610","30,243","30,357"
04/14/2023,"30,363","31,020","30,019","30,347"
04/13/2023,"29,812","30,607","29,797","30,363"
04/12/2023,"30,164","30,500","29,699","29,801"
04/11/2023,"29,195","30,549","29,099","30,164"
04/10/2023,"28,151","29,314","28,115","29,195"
04/09/2023,"27,941","28,264","27,824","28,151"
04/08/2023,"27,920","28,165","27,868","27,940"
04/07/2023,"28,032","28,133","27,800","27,920"
04/06/2023,"28,253","28,304","27,730","28,031"
04/05/2023,"28,196","28,778","27,839","28,253"
04/04/2023,"28,087","28,430","27,273","28,195"
04/03/2023,"27,959","28,498","27,586","28,087"
04/02/2023,"28,396","28,584","27,880","27,958"
04/01/2023,"28,472","28,801","28,273","28,396"
03/31/2023,"27,983","28,645","27,546","28,465"
03/30/2023,"28,415","29,173","27,730","27,983"
03/29/2023,"27,432","28,633","27,132","28,407"
03/28/2023,"26,970","27,502","26,669","27,430"
03/27/2023,"27,859","28,162","26,545","26,968"
03/26/2023,"27,220","28,211","27,191","27,859"
03/25/2023,"27,849","27,883","27,059","27,217"
03/24/2023,"28,429","28,480","27,495","27,849"
03/23/2023,"26,742","28,800","26,685","28,430"
03/22/2023,"28,210","28,889","26,736","26,736"
03/21/2023,"27,865","28,492","27,423","28,209"
03/20/2023,"28,336","28,554","27,236","27,865"
03/19/2023,"27,425","28,434","26,896","28,335"
03/18/2023,"26,887","27,818","26,651","27,425"
03/17/2023,"25,022","26,999","24,697","26,886"
03/16/2023,"24,423","25,200","24,224","25,022"
03/15/2023,"25,164","25,269","23,946","24,423"
03/14/2023,"24,354","26,502","24,054","25,135"
03/13/2023,"21,073","24,574","21,056","24,353"
03/12/2023,"20,535","21,582","20,453","21,072"
03/11/2023,"19,977","20,880","19,865","20,535"
03/10/2023,"20,118","20,475","19,580","19,977"
03/09/2023,"22,093","22,108","20,078","20,120"
03/08/2023,"22,057","22,272","21,872","22,093"
03/07/2023,"22,351","22,549","21,944","22,057"
03/06/2023,"22,412","22,592","22,285","22,351"
03/05/2023,"22,249","22,643","22,171","22,412"
03/04/2023,"22,303","22,404","22,161","22,249"
03/03/2023,"23,466","23,550","22,021","22,303"
03/02/2023,"23,415","23,791","23,210","23,464"
03/01/2023,"23,281","23,977","23,035","23,414"
02/28/2023,"23,322","23,595","23,178","23,282"
02/27/2023,"23,646","23,885","23,132","23,323"
02/26/2023,"22,924","23,680","22,860","23,646"
02/25/2023,"23,222","23,231","22,791","22,924"
02/24/2023,"23,940","24,123","22,874","23,223"
02/23/2023,"23,791","24,597","23,624","23,939"
02/22/2023,"24,467","24,531","23,596","23,791"
02/21/2023,"24,807","25,243","24,295","24,467"
02/20/2023,"24,519","25,107","23,862","24,807"
02/19/2023,"24,600","25,188","24,283","24,519"
02/18/2023,"24,823","24,871","24,083","24,600"
02/17/2023,"24,560","25,009","23,360","24,822"
02/16/2023,"24,148","25,243","24,032","24,559"
02/15/2023,"22,257","24,277","22,059","24,148"
02/14/2023,"21,672","22,320","21,581","22,257"
02/13/2023,"21,970","21,977","21,376","21,672"
02/12/2023,"21,677","22,087","21,671","21,970"
02/11/2023,"21,730","21,772","21,490","21,677"
02/10/2023,"22,000","22,003","21,550","21,730"
02/09/2023,"22,838","23,005","21,850","22,000"
02/08/2023,"23,209","23,435","22,680","22,840"
02/07/2023,"23,008","23,341","22,646","23,209"
02/06/2023,"22,889","23,147","22,645","23,008"
02/05/2023,"23,416","23,447","22,772","22,889"
02/04/2023,"23,338","23,581","23,271","23,416"
02/03/2023,"23,865","23,919","23,226","23,339"
02/02/2023,"23,569","24,244","23,542","23,863"
02/01/2023,"23,101","23,650","22,800","23,565"
01/31/2023,"22,691","23,211","22,545","23,101"
01/30/2023,"23,703","23,874","22,589","22,691"
01/29/2023,"22,972","23,950","22,955","23,703"
01/28/2023,"23,112","23,200","22,895","22,972"
01/27/2023,"23,116","23,500","22,558","23,112"
01/26/2023,"22,935","23,800","22,845","23,117"
01/25/2023,"23,022","23,074","22,350","22,934"
01/24/2023,"23,020","23,158","22,737","23,023"
01/23/2023,"22,453","23,159","22,326","23,019"
01/22/2023,"23,116","23,214","22,320","22,451"
01/21/2023,"22,288","23,344","22,226","23,116"
01/20/2023,"21,102","22,352","20,882","22,281"
01/19/2023,"20,725","21,186","20,641","21,102"
01/18/2023,"21,381","21,602","20,412","20,724"
01/17/2023,"21,284","21,536","20,873","21,380"
01/16/2023,"20,908","21,430","20,633","21,284"
01/15/2023,"20,879","21,066","20,575","20,908"
01/14/2023,"19,474","21,237","19,390","20,879"
01/13/2023,"19,062","19,488","18,719","19,474"
01/12/2023,"17,554","19,065","17,518","19,062"
01/11/2023,"17,475","17,574","17,320","17,554"
